id,nombre,partido
1,María González Rodríguez,Partido Liberal
2,Carlos Alberto Mendoza,Partido Conservador
3,Ana Sofía Herrera,Partido Verde
4,José Miguel Torres,Partido de la U
5,Laura Patricia Vásquez,Polo Democrático
6,Roberto Carlos Jiménez,Centro Democrático
7,Diana Carolina López,Cambio Radical
8,Fernando Andrés Ruiz,Alianza Verde
9,Claudia Marcela Sánchez,Partido Liberal
10,Alejandro David Morales,Partido Conservador
11,Valentina Isabel Castro,Partido Verde
12,Sebastián Eduardo Ramírez,Partido de la U
13,Natalia Andrea Vargas,Polo Democrático
14,Diego Alejandro Peña,Centro Democrático
15,Camila Fernanda Ortiz,Cambio Radical
16,Andrés Felipe Guerrero,Alianza Verde
17,Paola Cristina Delgado,Partido Liberal
18,Juan Carlos Medina,Partido Conservador
19,Isabella María Rojas,Partido Verde
20,Mateo Alejandro Silva,Partido de la U
21,Sofía Alejandra Pineda,Polo Democrático
22,Daniel Eduardo Cortés,Centro Democrático
23,Gabriela Valentina Aguilar,Cambio Radical
24,Nicolás Sebastián Restrepo,Alianza Verde
25,Mariana Alejandra Ospina,Partido Liberal
26,Santiago Andrés Cardona,Partido Conservador
27,Valeria Cristina Henao,Partido Verde
28,Emilio José Betancur,Partido de la U
29,Lucía Fernanda Giraldo,Polo Democrático
30,Tomás Alejandro Vélez,Centro Democrático 
